-ί|iota demonstrativum|ML
-δε|motion towards|ML
-δις|inseparable Suffix, signifying motion to a place, like -δε, as in ἄλλυδις, οἴκαδις, χαμάδις|ML
-θε|inseparable suffix, v. -θεν.|ML
-θεν|motion from|ML
-σθα|an ancient ending of 2 pers. sg. act., in Hom. and other Poets, mostly in subj., as ἐθέλῃσθα, ἔχῃσθα, εἴπῃσθα, rarely in opt. as κλαίοισθα. In attic it was retained in some irreg. Verbs, ἦσθα, οἶσθα, ᾔδησθα.|ML
-φι|of the head.|ML
@Αἴγειος|of Aegeus|ML
@Βρόμιος|Bacchic|ML
@Δίς|an old nom. for Ζεύς which appears in the oblique cases Διός, Διΐ, Δία, and Lat. Dis, Dies-piter, Djovis.|ML
@Διιπετής|fallen from Zeus|ML
@Διιπετής1|fallen from Zeus|ML
@Διιπετής2|hovering in air|ML
@Δῆλος|Delos|ML
@Εὖρος|the East wind|ML
@Κάρ|a Carian|ML
@Κάστωρ|Castor|ML
@Κώρυκος|a promontory of Cilicia|ML
@Κῦρος|Cyrus|ML
@Μίτρα|the Persian Aphrodite, Hdt.|ML
@Μαλίς|doric for Μηλίς, cf. Μηλιάδες.|ML
@Μαλίς1|doric for Μηλίς, cf. Μηλιάδες.|ML
@Μαῖα|Maia|ML
@Μηλίς|Malis|ML
@Μῆδος|a Mede, Median|ML
@Πάνορμος|its territory|ML
@Πάρος|Paros|ML
@Παιώνιος|belonging to Paeon, medicinal, healing|ML
@Παιώνιος1|belonging to Paeon, medicinal, healing|ML
@Παιώνιος2|a healer, reliever|ML
@Προμήθεια|the festival of Prometheus|ML
@Πύλος|Pylos|ML
@Σκυθίζω|to behave like a Scythian|ML
@Σκυθίζω1|to behave like a Scythian|ML
@Σκυθίζω2|to behave like a Scythian|ML
@Σμυρναῖος|of Smyrna|ML
@Σμύρνα|Smyrna|ML
@Σπάρτη|Sparta|ML
@Στησίχορος|Stesichorus|ML
@Συρίζω1|to speak like a Syrian|ML
@Συρίζω2|to speak like a Syrian|ML
@Τυφώς|a whirlwind, typhoon|ML
@Φοῖνιξ|a Phoenician|ML
@Χαλκίς|Chalcis|ML
@Χείρων|Cheiron|ML
@Χῶρος|the North-west wind|ML
@αἴγειος|of a goat or goats|ML
@αὔω|to burn, light a fire, get a light|ML
@αὔω1|to burn, light a fire, get a light|ML
@αὔω2|to shout out, shout, call aloud|ML
@βάτος|a bramble-bush or wild raspberry|ML
@βάτος1|a bramble-bush or wild raspberry|ML
@βάτος3|bath|ML
@βρόμιος|sounding, boisterous|ML
@γύης|the piece of wood|ML
@γύης1|the piece of wood|ML
@γύης2|a piece of land|ML
@δέλτα|lacryma|ML
@δέλτα1|lacryma|ML
@δέλτα2|anything shaped like a|ML
@δίς|twice, doubly|ML
@δαίς|a fire-brand, pine-torch|ML
@δαίς1|a fire-brand, pine-torch|ML
@δαίς2|equally divided|ML
@δαίω|to light up, make to burn, kindle|ML
@δαίω1|to light up, make to burn, kindle|ML
@δαίω2|to divide|ML
@δεύω|to wet, drench|ML
@δεύω1|to wet, drench|ML
@δεύω2|to miss, want|ML
@διαείδω|to discern, distinguish|ML
@διαείδω1|to discern, distinguish|ML
@διαείδω2|to contend in singing|ML
@δρῦς|a tree|ML
@δρῦς1|a tree|ML
@δρῦς2|a tree|ML
@δυώδεκα|twelve|ML
@δυώδεκα1|twelve|ML
@δυώδεκα2|twelve|ML
@δύσαυλος|inhospitable|ML
@δύσαυλος1|inhospitable|ML
@δύσαυλος2|an unhappy|ML
@εἴρω|to fasten together in rows, to string|ML
@εἴρω1|to fasten together in rows, to string|ML
@εἴρω2|see ἐρῶ|ML
@εὐαγής|free from pollution, guiltless, pure, undefiled|ML
@εὐαγής1|free from pollution, guiltless, pure, undefiled|ML
@εὐαγής2|moving well, nimble|ML
@εὐαγής3|bright, far-seen, conspicuous|ML
@εὐθαλής|blooming, flourishing|ML
@εὐθαλής1|blooming, flourishing|ML
@εὐθαλής2|doric for εὐθηλής.|ML
@εὐκτέανος|wealthy|ML
@εὐκτέανος1|wealthy|ML
@εὐκτέανος2|with straight fibres, slender, tall|ML
@εὔλυρος|playing well on the lyre, skilled in the lyre|ML
@εὔλυρος1|playing well on the lyre, skilled in the lyre|ML
@εὔλυρος2|easy to untie or loose|ML
@εὔρινος|ῥίς|ML
@εὔρινος1|ῥίς|ML
@εὔρινος2|of good leather|ML
@εὖνις|reft of, bereaved of|ML
@εὖνις1|reft of, bereaved of|ML
@εὖνις2|a bedfellow, wife|ML
@εὖρος|breadth, width|ML
@θεῖον|brimstone|ML
@θεῖον1|brimstone|ML
@θεῖον2|the divinity|ML
@θυώδης|smelling of incense, sweet-smelling|ML
@θυώδης1|smelling of incense, sweet-smelling|ML
@θυώδης2|smelling of incense, sweet-smelling|ML
@θῆσσα|a poor girl, one obliged to go out for hire|ML
@θῆσσα1|a poor girl, one obliged to go out for hire|ML
@θῆσσα2|fem. of θής, q. v.|ML
@κάρ2|hair cut off, a lock of hair|ML
@κάστωρ|the beaver|ML
@καταδέω|to bind on or to, bind fast|ML
@καταδέω1|to bind on or to, bind fast|ML
@καταδέω2|to want, lack, need|ML
@καὶ|but also|ML
@καὶ1|but also|ML
@καὶ2|for truly|ML
@καὶ3|and now, even now|ML
@καὶ4|even if, although|ML
@καὶ5|nay further|ML
@κείω|to lie down|ML
@κείω1|to lie down|ML
@κείω2|to cleave|ML
@κείω3|to cleave|ML
@κειμήλιον|anything stored up as valuable, a treasure, heirloom|ML
@κειμήλιον1|anything stored up as valuable, a treasure, heirloom|ML
@κειμήλιον2|anything stored up as valuable, a treasure, heirloom|ML
@κλείω|to shut, close, bar|ML
@κλείω1|to shut, close, bar|ML
@κλείω2|to celebrate|ML
@κλῄζω|to make famous, to celebrate in song, laud|ML
@κλῄζω1|to make famous, to celebrate in song, laud|ML
@κλῄζω2|to shut|ML
@κόρος|one's fill, satiety, surfeit|ML
@κόρος1|one's fill, satiety, surfeit|ML
@κόρος2|a boy, lad, stripling|ML
@κόρος3|cor|ML
@κώρυκος|a leathern sack or wallet for provisions|ML
@κῦρος|supreme power, authority|ML
@λάω|to behold, look upon|ML
@λάω1|to behold, look upon|ML
@λάω3|to wish, desire|ML
@λίς|a lion|ML
@λίς1|a lion|ML
@λίς2|smooth|ML
@λίψ|the SW. wind|ML
@λίψ1|the SW. wind|ML
@λίψ2|a stream|ML
@λαμπάς|gleaming with torches|ML
@λαμπάς1|gleaming with torches|ML
@λαμπάς2|a torch|ML
@λειστός|= ληϊστός, Il.|ML
@λειστός1|= ληϊστός, Il.|ML
@λειστός2|of or for the people, public.|ML
@λιμηρός|hungry, causing hunger|ML
@λιμηρός1|hungry, causing hunger|ML
@λιμηρός2|furnished with a good harbour|ML
@λιτός|smooth, plain|ML
@λιτός1|smooth, plain|ML
@λιτός3|suppliant, supplicatory|ML
@λύγξ|a lynx|ML
@λύγξ1|a lynx|ML
@λύγξ2|a spasmodic affection of the throat, hiccough, hiccup|ML
@λῆξις|a portion assigned by lot, an allotment|ML
@λῆξις1|a portion assigned by lot, an allotment|ML
@λῆξις2|cessation|ML
@μέτειμι|to be among|ML
@μέτειμι1|to be among|ML
@μέτειμι2|to go between or among|ML
@μίτρα|a belt or girdle|ML
@μαλίς2|doric for μηλίς|ML
@μαῖα|good mother, dame|ML
@μηλίς1|μῆλον2|ML
@μόσχος|a young shoot or twig|ML
@μόσχος1|a young shoot or twig|ML
@μόσχος2|a calf|ML
@μὴ|nay but, not so but|ML
@μὴ1|nay but, not so but|ML
@μὴ2|certainly not|ML
@μὴ3|not to say|ML
@μὴ4|not only|ML
@μὴ5|fear or apprehension, =|ML
@μῆδος1|counsels, plans, arts, schemes|ML
@μῆδος2|the genitals|ML
@μῆλον|a sheep or goat|ML
@μῆλον1|a sheep or goat|ML
@μῆλον2|tree-fruit|ML
@νέω|to swim|ML
@νέω1|to swim|ML
@νέω2|to spin|ML
@νέω3|to heap, pile, heap up|ML
@νέω4|next year.|ML
@ναίω|to dwell, abide|ML
@ναίω1|to dwell, abide|ML
@ναίω2|to run over, to be full|ML
@νεόδμητος|newly tamed|ML
@νεόδμητος1|newly tamed|ML
@νεόδμητος2|new-built|ML
@νεόρρυτος|fresh-flowing|ML
@νεόρρυτος1|fresh-flowing|ML
@νεόρρυτος2|newly drawn|ML
@νυμφίος|a bridegroom, one lately married|ML
@νυμφίος1|a bridegroom, one lately married|ML
@νυμφίος2|bridal|ML
@ξυστός|scraped, polished|ML
@ξυστός1|scraped, polished|ML
@ξυστός2|a covered colonnade|ML
@οὐδός|a threshold|ML
@οὐδός1|a threshold|ML
@οὐδός2|a way|ML
@οὐλή|v. οὐλαί.|ML
@οὐλή1|v. οὐλαί.|ML
@οὐλή2|a scar|ML
@οὔ|surely not|ML
@οὔ1|surely not|ML
@οὔ4|nowhere|ML
@οὔ6|not ever, never|ML
@οὔ7|surely you do not mean that . .?|ML
@οὖλος|whole, entire|ML
@οὖλος1|whole, entire|ML
@οὖλος2|woolly, woollen|ML
@οὖλος3|destructive, baneful|ML
@οὖρον|urine|ML
@οὖρον1|urine|ML
@οὖρον2|boundary|ML
@οὖρος|a fair wind|ML
@οὖρος1|a fair wind|ML
@οὖρος2|a watcher, warder, guardian|ML
@οὖρος3|a boundary.|ML
@οὖρος4|Lat. urus, a buffalo, Anth.|ML
@πάνορμος|always fit for landing in|ML
@πάρος|beforetime, formerly, erst|ML
@πέρα|beyond, across or over, further|ML
@πέρα1|beyond, across or over, further|ML
@πέρα2|v. πέραν sub fin.|ML
@πίασμα|that which makes fat|ML
@πίασμα1|that which makes fat|ML
@πίασμα2|doric and late attic for πίεσμα.|ML
@παίω|to strike, smite|ML
@παίω1|to strike, smite|ML
@παίω2|to eat|ML
@παραδεκτέος|one must admit|ML
@παραδεκτέος1|one must admit|ML
@παραδεκτέος2|to be admitted|ML
@περίδρομος|running round|ML
@περίδρομος1|running round|ML
@περίδρομος2|that which surrounds|ML
@πιστικός|liquid|ML
@πιστικός1|liquid|ML
@πιστικός2|faithful|ML
@πλάθω|to approach, draw near|ML
@πλάθω1|to approach, draw near|ML
@πλάθω2|to approach, draw near|ML
@πολύπους|many-footed|ML
@πολύπους1|many-footed|ML
@πολύπους2|the sea-polypus or octopus|ML
@πρίων|a saw|ML
@πρίων1|a saw|ML
@πρίων2|a sawyer|ML
@προλέγω|to choose before|ML
@προλέγω1|to choose before|ML
@προλέγω2|to foretell, announce beforehand|ML
@προμήθεια|foresight, forethought|ML
@προσδέω|to bind on or to attach|ML
@προσδέω1|to bind on or to attach|ML
@προσδέω2|to need besides|ML
@προσκοπή|a looking out for|ML
@προσκοπή1|a looking out for|ML
@προσκοπή2|an offence|ML
@πρόδομος|the chamber entered immediately from the|ML
@πρόδομος1|the chamber entered immediately from the|ML
@πρόδομος2|before the house|ML
@πρόειμι|to go forward, go on, advance|ML
@πρόειμι1|to go forward, go on, advance|ML
@πρόειμι2|to be before|ML
@πρόοδος|a going on, advance, progress|ML
@πρόοδος1|a going on, advance, progress|ML
@πρόοδος2|going before|ML
@πυκτίς|a writing tablet|ML
@πυκτίς1|a writing tablet|ML
@πυκτίς2|the beaver|ML
@πόσις|a husband, spouse, mate|ML
@πόσις1|a husband, spouse, mate|ML
@πόσις2|a drinking, drink, beverage|ML
@πύλος|= πύλη, Il.|ML
@πύρινος|of fire, fiery, hot|ML
@πύρινος1|of fire, fiery, hot|ML
@πύρινος2|of wheat, wheaten|ML
@πῶμα|a lid, cover|ML
@πῶμα1|a lid, cover|ML
@πῶμα2|a drink, a draught|ML
@σκάφος|a digging, hoeing|ML
@σκάφος1|a digging, hoeing|ML
@σκάφος2|the hull of a ship|ML
@σμυρναῖος|of myrrh|ML
@σμύρνα|myrrh|ML
@σπάρτη|= σπάρτον, Ar.|ML
@στεῖρα|a ship's keel|ML
@στεῖρα1|a ship's keel|ML
@στεῖρα2|a cow that has not calved|ML
@στησίχορος|establishing|ML
@στύραξ|storax|ML
@στύραξ1|storax|ML
@στύραξ2|the spike at the lower end of a spear-shaft|ML
@συλληπτέος|one must seize together|ML
@συλληπτέος1|one must seize together|ML
@συλληπτέος2|to be seized|ML
@συμπάρειμι|to be present also or at the same time|ML
@συμπάρειμι1|to be present also or at the same time|ML
@συμπάρειμι2|to go beside also or together|ML
@συνεράω|to pour together, gather together|ML
@συνεράω1|to pour together, gather together|ML
@συνεράω2|to love together with|ML
@συννέω|to pile or heap together, heap up|ML
@συννέω1|to pile or heap together, heap up|ML
@συννέω2|to swim together or with|ML
@συρίζω|to play the|ML
@σύναυλος|in concert with the flute|ML
@σύναυλος1|in concert with the flute|ML
@σύναυλος2|dwelling with, living in the folds with|ML
@σύνοδος|= συνοδοιπόρος, Anth.|ML
@σύνοδος1|= συνοδοιπόρος, Anth.|ML
@σύνοδος2|an assembly, meeting|ML
@σῖγμα|sal|ML
@σῖγμα1|sal|ML
@σῖγμα2|sigma|ML
@τάριχος|a dead body preserved by embalming, a mummy|ML
@τάριχος1|a dead body preserved by embalming, a mummy|ML
@τάριχος2|= τά̆ρῑχος1 II, Ar., etc.|ML
@ταῦ|Τ, τ, ταῦ, τό, indecl., nineteenth letter of the Gr. alphabet: as numeral τ# ῀ 300, but #22τ ῀ 300, 000.|ML
@ταῦ1|Τ, τ, ταῦ, τό, indecl., nineteenth letter of the Gr. alphabet: as numeral τ# ῀ 300, but #22τ ῀ 300, 000.|ML
@ταῦ2|the letter τ, Plat.|ML
@τρέχνος|a twig|ML
@τρέχνος1|a twig|ML
@τρέχνος2|a twig|ML
@τρίγλυφος|the triglyph, a three-grooved tablet|ML
@τρίγλυφος1|the triglyph, a three-grooved tablet|ML
@τρίγλυφος2|thrice-cloven.|ML
@τρύχω|to wear out, waste, consume|ML
@τρύχω1|to wear out, waste, consume|ML
@τρύχω2|to wear out, waste, consume|ML
@τυφώς|a whirlwind, typhoon|ML
@φάσις|an accusation|ML
@φάσις1|an accusation|ML
@φάσις2|an assertion|ML
@φανός|light, bright|ML
@φανός1|light, bright|ML
@φανός2|a torch|ML
@φοῖνιξ|a purple-red, purple or crimson|ML
@χαλκίς|= κύμινδις, Il.|ML
@χοῦς|the Pitcher-feast|ML
@χοῦς1|the Pitcher-feast|ML
@χοῦς2|earth thrown down or heaped up|ML
@χῶρος1|a piece of ground, ground, place|ML
@ψιλόω|to strip bare|ML
@ψιλόω1|to strip bare|ML
@ψιλόω2|to strip bare|ML
@ἀίω|to perceive|ML
@ἀίω1|to perceive|ML
@ἀίω2|to breathe|ML
@ἀλήιος|poor in lands|ML
@ἀμάω|to reap corn|ML
@ἀμάω1|to reap corn|ML
@ἀμάω2|to gather together, collect|ML
@ἀπείρων|without experience, ignorant|ML
@ἀπείρων1|without experience, ignorant|ML
@ἀπείρων2|boundless, endless, countless|ML
@ἀπειλέω|to force back|ML
@ἀπειλέω1|to force back|ML
@ἀπειλέω2|to hold out|ML
@ἀπειρία|want of skill, inexperience|ML
@ἀπειρία1|want of skill, inexperience|ML
@ἀπειρία2|infinity|ML
@ἀποδέω|to bind fast|ML
@ἀποδέω1|to bind fast|ML
@ἀποδέω2|to be in want of, lack|ML
@ἀποκλάζω|to ring or shout forth|ML
@ἀποκλάζω1|to ring or shout forth|ML
@ἀποκλάζω2|to bend one's knees|ML
@ἀπολέγω|to pick out from|ML
@ἀπολέγω1|to pick out from|ML
@ἀπολέγω2|to decline, refuse|ML
@ἀπόφασις|a denial, negation|ML
@ἀπόφασις1|a denial, negation|ML
@ἀπόφασις2|a sentence, decision|ML
@ἀράω|to pray|ML
@ἀράω1|to pray|ML
@ἀράω2|to damage|ML
@ἀργός|shining, bright, glistening|ML
@ἀργός1|shining, bright, glistening|ML
@ἀργός2|not working the ground, living without labour|ML
@ἀσφάραγος|the throat, gullet|ML
@ἀσφάραγος1|the throat, gullet|ML
@ἀσφάραγος2|asparagus|ML
@ἀφυλακτέω|to bark out|ML
@ἀφυλακτέω1|to bark out|ML
@ἀφυλακτέω2|to be off one's guard|ML
@ἁλίζω|to gather together, to muster|ML
@ἁλίζω1|to gather together, to muster|ML
@ἁλίζω2|to salt|ML
@ἁμός|our, ours|ML
@ἁμός1|our, ours|ML
@ἁμός2|as, when|ML
@ἄνοδος|having no road, impassable|ML
@ἄνοδος1|having no road, impassable|ML
@ἄνοδος2|a way up|ML
@ἄπιος|a pear-tree|ML
@ἄπιος1|a pear-tree|ML
@ἄπιος2|far away, far off, distant|ML
@ἄρωμα|any spice or sweet herb|ML
@ἄρωμα1|any spice or sweet herb|ML
@ἄρωμα2|arable land, corn-land|ML
@ἄσκοπος|inconsiderate, heedless|ML
@ἄσκοπος1|inconsiderate, heedless|ML
@ἄσκοπος2|aimless, random|ML
@ἄω|to blow|ML
@ἄω1|to blow|ML
@ἄω2|to hurt|ML
@ἄω3|to satiate|ML
@ἄωρος|untimely, unseasonable|ML
@ἄωρος1|untimely, unseasonable|ML
@ἄωρος2|pendulous, waving about|ML
@ἅλιος|of the sea|ML
@ἅλιος1|of the sea|ML
@ἅλιος2|fruitless, unprofitable, vain, idle|ML
@Ἀλήιος|of wandering|ML
@Ἀχαία|Achaia|ML
@Ἀχαία1|Achaia|ML
@Ἀχαία2|name of Demeter in Attica, Hdt.|ML
@ἐλελίζω|to whirl round|ML
@ἐλελίζω1|to whirl round|ML
@ἐλελίζω2|to raise the battle-cry|ML
@ἐμβαδόν|on foot, by land|ML
@ἐμβαδόν1|on foot, by land|ML
@ἐμβαδόν2|surface, area|ML
@ἐναύω|to kindle|ML
@ἐναύω1|to kindle|ML
@ἐναύω2|cry aloud.|ML
@ἐνδέω|to bind in, on or to|ML
@ἐνδέω1|to bind in, on or to|ML
@ἐνδέω2|to be in want of|ML
@ἐνδαίω|to kindle in|ML
@ἐνδαίω1|to kindle in|ML
@ἐνδαίω2|to distribute.|ML
@ἐξαμάω|to mow or reap out, to finish mowing|ML
@ἐξαμάω1|to mow or reap out, to finish mowing|ML
@ἐξαμάω2|= ἐξαφύσσω.|ML
@ἐξαύω|to heat|ML
@ἐξαύω2|to heat|ML
@ἐξαύω3|to cry out|ML
@ἐξερέω|I will speak out, tell out, utter aloud|ML
@ἐξερέω1|I will speak out, tell out, utter aloud|ML
@ἐξερέω2|to inquire into|ML
@ἐπίλογχος|barbed|ML
@ἐπίλογχος1|barbed|ML
@ἐπίλογχος2|reserve candidate.|ML
@ἐπίπλοος|a sailing against, bearing down upon|ML
@ἐπίπλοος1|a sailing against, bearing down upon|ML
@ἐπίπλοος3|the membrane enclosing the entrails, the caul|ML
@ἐπίσκοπος|one who watches over, an overseer, guardian|ML
@ἐπίσκοπος1|one who watches over, an overseer, guardian|ML
@ἐπίσκοπος2|hitting the mark|ML
@ἐπιδέω|to bind or fasten on|ML
@ἐπιδέω1|to bind or fasten on|ML
@ἐπιδέω2|to want or lack of|ML
@ἐπιδαίομαι|to kindle at|ML
@ἐπιδαίομαι1|to kindle at|ML
@ἐπιδαίομαι2|to distribute|ML
@ἐπιθύω|to sacrifice besides or after|ML
@ἐπιθύω1|to sacrifice besides or after|ML
@ἐπιθύω2|to rush eagerly at|ML
@ἐπικλείω|to shut to, close|ML
@ἐπικλείω1|to shut to, close|ML
@ἐπικλείω2|to extol or praise the more|ML
@ἐπινέω|to allot by spinning|ML
@ἐπινέω1|to allot by spinning|ML
@ἐπινέω2|to heap up or load with|ML
@ἐπινέω3|to float on the top|ML
@ἐπιπάρειμι|to be present besides or in addition|ML
@ἐπιπάρειμι1|to be present besides or in addition|ML
